id_cohorte;effectif;inscriptions;réussites
14673;1;D1AES, D1AES, D2AES, D3AEE, D3AEE;D1AES, D2AES, D3AEE
14674;1;-8<--, B2SSS5, B3SSS5;B2SSS5
14675;1;-8<--, B2IFLC, B3IFLC, [trou], [trou], [trou], [trou], BUSIR;B2IFLC, B3IFLC, BUSIR
14676;1;-8<--, B1STA, B2STA;B1STA
14677;1;B4QS3, B5QSS3;B4QS3, B5QSS3
14678;1;-8<--, G3INF, G4INF, G4INFO, G5PRLS;G3INF, G4INFO
14679;1;S1IM, S2IM, S3MIS2;S1IM
14680;1;G1PC9, S1MP, S2MP;S1MP, S2MP
14681;1;-8<--, LXAA1, LXAA1, LXAA1, L1LAE, L1LAE;LXAA1
14682;1;D1AES, D1AES, D2AES, D3APS, [trou], D4PAP;D1AES, D2AES, D1CII, D3APS, DCLS1A, DCLS1A
14683;1;S3RIS2;
14684;1;B1STA, L1LET;
14685;1;-8<--, L3ANG, L4MFAN, L5MFAN;L3ANG, L4MFAN
14686;1;-8<--, B3SM, B3DFAS, B4DFAS, B5DFAS, B91SCG, [trou], B93SCG;B3SM, B3DFAS, B4DFAS, B5DFAS, B93SCG
14687;1;D3GP;D3GP
14688;1;B1SSSI, B2SSO, B3SSO, B4SST, B5SST;B1SSSI, B2SSO, B3SSO, B4SST, B5SST
14689;1;S1GE, S2GR, [trou], SUETI, [trou], S3MDE;S1GE, SUETI, S3MDE
14690;1;-8<--, B3SSS, [trou], [trou], [trou], [trou], [trou], [trou], [trou], B5MES3;B5MES3
14691;1;B1IFRB, B2IFRB, B2IFRB, B3IFRB;B1IFRB, B2IFRB
14692;1;A3CCN2, C4IEC, C5IEC;A3CCN2, C4IEC, C5IEC
14693;1;G3SI, G4SI2;G3SI
14694;1;-8<--, S1IM, S2IM;S1IM
14695;1;E1EGEB, E2EGE, G3MAT;E1EGEB, E1CII, E2EGE, G3MAT
14696;1;B1PAES, B2SM, B2SM, B2SM, B3SM, B3SM, B3DFAS, B4DFAS, B5DFAS;B1PAES, B2SM, B3SM, B4DFAS, B5DFAS
14697;1;S1PR, S2PR, S2PR, S3COL2;S1PR, S3COL2
14698;1;S3MDE, [trou], E4FPV, E5FPV;S3MDE, E4FPV
14699;1;P1SG, P2SG;P2SG
14700;1;-8<--, G8CB;
14701;1;-8<--, B1STA, B1STA;
14702;1;B1SVI, B1IFRB, B2IFRB, B3IFRB, B3IFRB;B1IFRB, B2IFRB, B3IFRB
14703;1;S1MP, S2MP, S3INS2;S1MP, S2MP
14704;1;B1STAS, B2MKDA;B1STAS
14705;1;-8<--, V2RT, V2RT;V2RT
14706;1;L1PSY, L2PSY, L3PSY, BUVS;L1PSY, L2PSY, L3PSY
14707;1;B1DROP, B1SPS;
14708;1;B1IFDE, [trou], B1IFDE, B2IFDE, B3IFDE;B2IFDE
14709;1;C1COM, C2COM, C3COM;C2COM
14710;1;-8<--, E1EGE, E2EGE, E3EBF, E4EIR, E5BGR;E1EGE, E2EGE, E3EBF, E4EIR, E5BGR, E5BGR
14711;1;L1PSY, L2PSY, L3PSY, L4CICT, L5CICT;L1PSY, L2PSY, L3PSY, L4CICT, L5CICT
14712;1;G2MAT, G3MAP;G2MAT
14713;1;B1SSO, B1SSO, B1IFAV;B1SSO
14714;1;-8<--, L2LMO;L2LMO
14715;1;D1SPO, L1GEA;
14716;1;G2MAT, V2ST;
14717;1;E2EGE, E3ENTA, E4CC, E5CC;E2EGE, E3ENTA, E4CC, E5CC
14718;1;A1GE, A2GMO;
14719;1;V1IN, V2INL, [trou], E1EGE, E2EGE, E3ECO, E4CEE2, E5CEE2;V1IN, V2INL, E1EGE, E1CII, E2EGE, E3ECO, E4CEE2
14720;1;P1SG, P2SG, P2SG, [trou], S1HS, S2HS2;P1SG, S2HS2
14721;1;D1DRO, D1DRO, D2DRO, D2DRO, D2DRO;D1DRO, D2DRO, D2DRO, D2DRO
14722;1;-8<--, DXEN, D8DR, D8DR, D8DR, D8DR;
14723;1;D1AES, [trou], [trou], [trou], V3CB;V3CB
